date,statut,heure
02/11/2025,Honoré,09:00
03/11/2025,Honoré,10:30
04/11/2025,Honoré,11:00
05/11/2025,Honoré,12:30
06/11/2025,Absent,13:00
07/11/2025,Honoré,14:30
08/11/2025,Honoré,15:00
09/11/2025,Honoré,16:30
10/11/2025,Honoré,08:00
11/11/2025,Absent,09:30
12/11/2025,Honoré,10:00
13/11/2025,Honoré,11:30
14/11/2025,Honoré,12:00
15/11/2025,Honoré,13:30
16/11/2025,Absent,14:00
17/11/2025,Honoré,15:30
18/11/2025,Honoré,16:00
19/11/2025,Honoré,08:30
20/11/2025,Honoré,09:00
21/11/2025,Absent,10:30
22/11/2025,Honoré,11:00
23/11/2025,Honoré,12:30
24/11/2025,Honoré,13:00
25/11/2025,Honoré,14:30
26/11/2025,Absent,15:00
27/11/2025,Honoré,16:30
28/11/2025,Honoré,08:00
01/11/2025,Honoré,09:30
02/11/2025,Honoré,10:00
03/11/2025,Absent,11:30
